SimID,FactorSimID,Similarity,OverlapAssets,OverlapCount,Return_Traditional,Sharpe_Traditional,Return_Factor,Sharpe_Factor
2001,2884,0.6,"MACSX,TGINX,YACKX",3,0.1323628518380639,0.9462696126545568,0.1185162263038584,1.0674075531590637
2001,2049,0.6,"MACSX,VTI,YACKX",3,0.1323628518380639,0.9462696126545568,0.1564918402480767,1.0697287838169716
2001,513,0.6,"MACSX,VTI,YACKX",3,0.1323628518380639,0.9462696126545568,0.1333908527044583,0.8843210272052012
2001,1996,0.6,"MACSX,VTI,YACKX",3,0.1323628518380639,0.9462696126545568,0.123084348716798,0.7651106017884185
4978,1509,0.6,"EWU,EWW,FLPSX,MACSX,TGINX,VBIRX",6,0.1160804807793739,0.9375866666244288,0.1190153804003962,0.8751611429408024
4978,4206,0.625,"EWW,FLPSX,MACSX,TGINX,VBIRX",5,0.1160804807793739,0.9375866666244288,0.12002695153496,0.7682758992611034
4978,1993,0.7142857142857143,"EWU,EWW,FLPSX,TGINX,VBIRX",5,0.1160804807793739,0.9375866666244288,0.110251283888182,0.7277578066304212
4711,1250,0.75,"FEMKX,MACSX,SPY,TGINX,VFIAX,YACKX",6,0.1087549556145695,0.9325211376633594,0.1118874810338018,0.8900305367731616
4711,630,0.6666666666666666,"FEMKX,IVV,MACSX,SPY,TGINX,YACKX",6,0.1087549556145695,0.9325211376633594,0.1155073483060973,0.8796116858058218
4711,3655,0.6363636363636364,"FEMKX,MACSX,SPY,TGINX,VBIRX,VFIAX,YACKX",7,0.1087549556145695,0.9325211376633594,0.1033330342629189,0.7421940238914074
4711,1691,0.6666666666666666,"FEMKX,IVV,MACSX,SPY,TGINX,VBIRX,VFIAX,YACKX",8,0.1087549556145695,0.9325211376633594,0.1059391219096095,0.7173322686145354
4711,1077,0.6,"IVV,MACSX,SPY,TGINX,VFIAX,YACKX",6,0.1087549556145695,0.9325211376633594,0.1155889390244086,0.7438065724642555
3354,513,0.6,"MACSX,VVIAX,YACKX",3,0.1370776793475143,0.9299794824475148,0.1333908527044583,0.8843210272052012
3354,1051,0.6,"MACSX,VVIAX,YACKX",3,0.1370776793475143,0.9299794824475148,0.1563095485142867,0.9074006287434464
2954,4302,0.6,"IVV,JUEAX,YACKX",3,0.1551609866091497,0.904456334575707,0.1718544729364525,0.940774286092225
3657,150,0.6,"QQQ,VBIRX,YACKX",3,0.1597181783921921,0.8968981046568645,0.1297578777759042,0.9960944418913992
