OverlapAssets,Similarity,OverlapCount,Return_Traditional,Sharpe_Traditional,Return_Factor,Sharpe_Factor,SimID,FactorSimID,Avg_Return,Avg_Sharpe,Sharpe_Diff,Return_Diff,Num_Traditional_Portfolios,Num_Factor_Portfolios
"MACSX,SPY,VFIAX",0.6,3.0,0.1304265051826729,0.852942104409173,0.1214725483241813,0.8379101082801643,[1955],[345],0.1259495267534271,0.8454261063446686,0.015031996129008629,0.008953956858491596,1,1
"FLPSX,SWSSX,VBIRX,VFIAX",0.6666666666666666,4.0,0.1483504653175378,0.8863784579084825,0.1160846373234053,0.7971047702481701,[2702],[1333],0.13221755132047153,0.8417416140783263,0.0892736876603124,0.032265827994132495,1,1
"EWG,FLPSX,IJT,VBIRX,VGENX,YACKX",0.6,6.0,0.1355219973740097,0.8748397506973857,0.1387834389460168,0.8039488373723976,[2386],[3542],0.13715271816001323,0.8393942940348917,0.07089091332498809,0.003261441572007112,1,1
"IVV,MACSX,SPY,TGINX,VFIAX,YACKX",0.6,6.0,0.1087549556145695,0.9325211376633594,0.1155889390244086,0.7438065724642555,[4711],[1077],0.11217194731948905,0.8381638550638075,0.1887145651991039,0.006833983409839095,1,1
"FEMKX,MACSX,SPY,TGINX,VBIRX,VFIAX,YACKX",0.6363636363636364,7.0,0.1087549556145695,0.9325211376633594,0.1033330342629189,0.7421940238914074,[4711],[3655],0.1060439949387442,0.8373575807773834,0.190327113771952,0.005421921351650608,1,1
"FLPSX,IJT,JUEAX,MACSX,QQQ,VGENX,YACKX",0.6363636363636364,7.0,0.1335410002975992,0.8029736207829109,0.1529420921224098,0.8681886004417126,[4440],[3103],0.1432415462100045,0.8355811106123118,0.06521497965880174,0.019401091824810618,1,1
"JUEAX,SLYV,TGINX,VBIRX,VVIAX,YACKX",0.6666666666666666,6.0,0.0775521286863856,0.8117134770805571,0.0988159414763144,0.8579974447995945,[3766],[668],0.08818403508135,0.8348554609400758,0.04628396771903742,0.021263812789928796,1,1
"FLPSX,VGENX,VTRIX",0.6,3.0,0.1669176930608472,0.8648031699764162,0.151733416869871,0.8033272658917604,[667],[4461],0.1593255549653591,0.8340652179340883,0.06147590408465575,0.015184276190976204,1,1
"FLPSX,MACSX,QQQ,SLYV,VBIRX,YACKX",0.6333333333333333,6.0,0.1219044411644133,0.7959475591287328,0.1150490615649592,0.8700897283878499,"[1284, 2710]",[965],0.11847675136468624,0.8330186437582914,0.0741421692591171,0.006855379599454106,2,1
"EWU,EWW,FLPSX,TGINX,VBIRX",0.7142857142857143,5.0,0.1160804807793739,0.9375866666244288,0.110251283888182,0.7277578066304212,[4978],[1993],0.11316588233377795,0.8326722366274251,0.20982885999400758,0.005829196891191893,1,1
"JUEAX,MACSX,VFIAX,VTSAX,YACKX",0.7142857142857143,5.0,0.1343209881978981,0.7788220490571088,0.1462445111077317,0.8845872285564449,[3977],[3617],0.1402827496528149,0.8317046388067768,0.10576517949933606,0.011923522909833617,1,1
"FLPSX,SPY,TGINX,VGENX,VTSAX",0.625,5.0,0.1341921221623313,0.8407864062221082,0.1345868135886009,0.8219410082455232,[4861],[3087],0.1343894678754661,0.8313637072338157,0.01884539797658502,0.00039469142626957776,1,1
"EWU,FLPSX,SLYV,TGINX,VBIRX,YACKX",0.6,6.0,0.0956645997574222,0.7662445079025586,0.1113696044061212,0.8945461351107243,[2164],[3304],0.1035171020817717,0.8303953215066415,0.12830162720816574,0.015705004648699006,1,1
"FLPSX,VGENX,VVIAX,YACKX",0.6666666666666666,4.0,0.1530583993760395,0.8470014920637119,0.1549440385344603,0.812076522878622,[1637],[1327],0.15400121895524987,0.8295390074711669,0.034924969185089916,0.0018856391584207988,1,1
"IVV,MACSX,VVIAX,YACKX",0.6666666666666666,4.0,0.1223314551005897,0.7479088138622568,0.1563095485142867,0.9074006287434464,[1332],[1051],0.13932050180743819,0.8276547213028516,0.15949181488118958,0.033978093413696994,1,1
"FLPSX,MACSX,VFIAX",0.6,3.0,0.1281829693251943,0.8011181361798668,0.13499313331578267,0.8539568779267415,[4696],"[4128, 345]",0.13158805132048848,0.8275375070533042,0.05283874174687464,0.006810163990588369,1,2
"FEMKX,MACSX,QQQ,SLYV,VGENX,YACKX",0.6,6.0,0.1374219355328715,0.7834711471338687,0.1511639289240815,0.8712178274420753,[4151],[3997],0.1442929322284765,0.827344487287972,0.08774668030820665,0.013741993391210017,1,1
"EWU,FEMKX,JUEAX,VBIRX,YACKX",0.625,5.0,0.1243104165815113,0.8027330478142254,0.146145028695356,0.8518785422826103,[4661],[639],0.13522772263843366,0.8273057950484178,0.0491454944683849,0.0218346121138447,1,1
"IWM,MDY,TGINX",0.6,3.0,0.1178649476209962,0.8391710208425357,0.0978690118555765,0.8143922807580299,[1103],[4982],0.10786697973828635,0.8267816508002828,0.024778740084505757,0.019995935765419692,1,1
"FLPSX,IJT,JUEAX,SWPPX,VBIRX,VFIAX,YACKX",0.6363636363636364,7.0,0.1320262020697908,0.8289631036111211,0.1163533389587967,0.8236677300694386,[4569],[875],0.12418977051429375,0.8263154168402799,0.005295373541682524,0.015672863110994098,1,1
"FEMKX,IVV,MACSX,SPY,TGINX,VBIRX,VFIAX,YACKX",0.6666666666666666,8.0,0.1087549556145695,0.9325211376633594,0.1059391219096095,0.7173322686145354,[4711],[1691],0.10734703876208951,0.8249267031389473,0.21518886904882406,0.0028158337049600107,1,1
"IVV,MDY,VBIRX,VGENX,VGSLX,VTRIX",0.6,6.0,0.1121454338154611,0.7935712721893832,0.093233685804062,0.8552349013476375,[1617],[1860],0.10268955980976155,0.8244030867685104,0.061663629158254296,0.01891174801139911,1,1
"JUEAX,MACSX,SWPPX,VBIRX,VGSLX,YACKX",0.6,6.0,0.1306513834139459,0.7828972804345775,0.1322998053384053,0.8656933313788671,[4599],[4136],0.1314755943761756,0.8242953059067223,0.08279605094428955,0.001648421924459409,1,1
"EWW,MASKX,SWPPX,TGINX,YACKX",0.625,5.0,0.1313779087307768,0.7939595360793246,0.1381270353452865,0.8514318119929621,[4645],[2271],0.13475247203803165,0.8226956740361433,0.05747227591363757,0.006749126614509715,1,1
"FLPSX,IJS,IJT,JUEAX,VBIRX,YACKX",0.6,6.0,0.1438463318636784,0.8211061382027346,0.1232630830448227,0.8241460212335173,[56],[4956],0.13355470745425055,0.822626079718126,0.0030398830307827307,0.020583248818855704,1,1
"JUEAX,SLYV,YACKX",0.6,3.0,0.1508278319583405,0.8269962467908403,0.1541953173861322,0.8179107509354842,[237],[1222],0.15251157467223636,0.8224534988631622,0.009085495855356118,0.0033674854277916944,1,1
"FLPSX,SWSSX,VVIAX",0.6,3.0,0.1506682686902417,0.7534838396802594,0.1415574644910566,0.8902127324756486,[943],[1194],0.14611286659064915,0.821848286077954,0.13672889279538913,0.009110804199185085,1,1
"FEMKX,FLPSX,IWM,MACSX,QQQ,VBIRX,VTSAX,YACKX",0.6153846153846154,8.0,0.1241250760106451,0.7924626936136736,0.1450276706436453,0.8509802507436693,[3349],[1964],0.1345763733271452,0.8217214721786714,0.058517557129995734,0.020902594633000204,1,1
"IVV,SPY,YACKX",0.6,3.0,0.1439174316155239,0.8602867088305749,0.1347891702579131,0.7785439461427681,[3145],[3875],0.1393533009367185,0.8194153274866716,0.08174276268780678,0.0091282613576108,1,1
"EWW,FLPSX,IVV,TGINX,VTSAX,YACKX",0.6,6.0,0.1365514239158211,0.7810934735470004,0.1238371986547871,0.8561479986749135,[2289],[4036],0.1301943112853041,0.818620736110957,0.07505452512791311,0.012714225261033996,1,1
"FEMKX,FLPSX,JUEAX,VVIAX,YACKX",0.625,5.0,0.1499336124866592,0.8047403531473166,0.1474285796168698,0.8284212780741267,[3191],[4000],0.1486810960517645,0.8165808156107217,0.023680924926810065,0.0025050328697893975,1,1
"SWPPX,VTRIX,YACKX",0.6,3.0,0.1384341428718789,0.80149502361495,0.1230945955918543,0.8305010403071702,[1643],[4192],0.1307643692318666,0.81599803196106,0.02900601669222025,0.01533954728002461,1,1
"VGENX,VTI,YACKX",0.6,3.0,0.1506584837397164,0.7961809551889286,0.1480316119820809,0.8348715931868188,[886],[1985],0.14934504786089864,0.8155262741878737,0.03869063799789019,0.0026268717576355127,1,1
"FLPSX,SWPPX,YACKX",0.6,3.0,0.1380288268587896,0.7590413900928763,0.1513121377994879,0.870370537812844,[4939],[646],0.14467048232913876,0.8147059639528602,0.11132914771996771,0.013283310940698317,1,1
"FEMKX,FLPSX,MACSX,QQQ,SLYV,SWSSX,VGENX,YACKX",0.6153846153846154,8.0,0.1389972747553406,0.7577021528994919,0.1511639289240815,0.8712178274420753,[2459],[3997],0.14508060183971105,0.8144599901707836,0.11351567454258338,0.012166654168740909,1,1
"MACSX,QQQ,SLYV,VGENX,YACKX",0.625,5.0,0.139399463881171,0.7573056782327179,0.1150490615649592,0.8700897283878499,[4171],[965],0.12722426272306508,0.8136977033102839,0.11278405015513204,0.0243504023162118,1,1
"FEMKX,FLPSX,QQQ,SWPPX",0.6666666666666666,4.0,0.1498329495850932,0.8252234176532426,0.1455116887977287,0.8020359841880808,[3063],[301],0.14767231919141094,0.8136297009206617,0.023187433465161833,0.0043212607873645,1,1
"IWM,MACSX,SWPPX,VBIRX,VGENX",0.625,5.0,0.0852774650803162,0.8858787548836478,0.1039326505445327,0.7407610140858871,[4863],[1673],0.09460505781242445,0.8133198844847674,0.14511774079776063,0.018655185464216503,1,1
"EWW,FLPSX,IVV,VTSAX,YACKX",0.625,5.0,0.1404066683275551,0.7697124588474376,0.1238371986547871,0.8561479986749135,[1609],[4036],0.1321219334911711,0.8129302287611755,0.08643553982747598,0.01656946967276801,1,1
"FLPSX,IWM,MACSX,SLYV,TGINX,YACKX",0.6666666666666666,6.0,0.1166201532458943,0.7533167863162633,0.1326241454681456,0.8708748490850945,[4010],[1113],0.12462214935701996,0.812095817700679,0.11755806276883118,0.01600399222225131,1,1
"FLPSX,MACSX,SPY,TGINX,VGENX,VTI,VTRIX,VTSAX",0.6666666666666666,8.0,0.1342312297182798,0.8071819407837858,0.1271389105973103,0.816450736544412,[1082],[4626],0.13068507015779507,0.8118163386640989,0.009268795760626225,0.007092319120969498,1,1
"FLPSX,IJT,JUEAX,MACSX,SPY,VBIRX,VGENX",0.6363636363636364,7.0,0.1389364150654203,0.8094076121148197,0.1092121631683274,0.8136195196722212,[2888],[1571],0.12407428911687385,0.8115135658935204,0.0042119075574015286,0.029724251897092893,1,1
"EWW,FEMKX,MACSX,VTSAX,YACKX",0.7142857142857143,5.0,0.1387288537304674,0.7997926978619445,0.1473486528881103,0.8228115016752634,[3643],[882],0.14303875330928884,0.811302099768604,0.02301880381331889,0.00861979915764291,1,1
"MACSX,VGENX,VVIAX",0.6,3.0,0.1378182003674896,0.8302889413645925,0.1268927187098777,0.7915555573774411,[1123],[2311],0.13235545953868366,0.8109222493710169,0.038733383987151426,0.010925481657611896,1,1
"FEMKX,MASKX,MDY,QQQ,VBIRX,VGSLX,VVIAX,YACKX",0.6666666666666666,8.0,0.127764314896167,0.8279160218463882,0.1347722683322257,0.7929447493028404,[1758],[3317],0.13126829161419634,0.8104303855746143,0.034971272543547816,0.0070079534360587,1,1
"MDY,TGINX,VGSLX,VTRIX,YACKX",0.625,5.0,0.1269450240314701,0.8093097141077096,0.1371086646414422,0.8112074394038501,[3013],[1320],0.13202684433645615,0.8102585767557798,0.0018977252961405178,0.010163640609972102,1,1
"MACSX,SWPPX,SWSSX",0.6,3.0,0.128061939785601,0.774720385472047,0.1278576857210593,0.8447742411677173,[274],[1325],0.12795981275333013,0.8097473133198821,0.07005385569567024,0.00020425406454169237,1,1
"FLPSX,JUEAX,MDY",0.6,3.0,0.14643348692884411,0.7577019850604196,0.1637942949743789,0.8612314021300967,"[3044, 4463]",[4284],0.1551138909516115,0.8094666935952581,0.10352941706967711,0.017360808045534776,2,1
"MACSX,QQQ,VBIRX",0.6,3.0,0.1104199985023798,0.8189828395606369,0.0923669207479846,0.7998910370476923,[1101],[2505],0.1013934596251822,0.8094369383041646,0.019091802512944622,0.0180530777543952,1,1
"FLPSX,MDY,TGINX",0.6,3.0,0.13162093894808005,0.7940039412047253,0.1147806434174091,0.8242007109584748,"[3044, 1103]",[3879],0.12320079118274457,0.8091023260816,0.03019676975374952,0.016840295530670957,2,1
"EWU,VBIRX,VTSAX,YACKX",0.6666666666666666,4.0,0.1315591979036202,0.8143082860017413,0.1166668878242846,0.8018790417011428,[3820],[684],0.12411304286395239,0.808093663851442,0.012429244300598552,0.0148923100793356,1,1
"JUEAX,MACSX,SPY,VFIAX",0.8,4.0,0.1304265051826729,0.852942104409173,0.1238278784023257,0.7631075618121883,[1955],[670],0.12712719179249932,0.8080248331106806,0.08983454259698465,0.0065986267803472,1,1
"EWU,JUEAX,MDY,VBIRX,YACKX",0.625,5.0,0.1330064629101534,0.7641106529267849,0.146145028695356,0.8518785422826103,[173],[639],0.1395757458027547,0.8079945976046976,0.08776788935582536,0.013138565785202616,1,1
"MACSX,MDY,SWSSX,YACKX",0.8,4.0,0.1397196786551604,0.8121093195772985,0.1366330554627219,0.8027425396488733,[2928],[4836],0.13817636705894115,0.8074259296130859,0.009366779928425162,0.00308662319243852,1,1
"EWW,FEMKX,FLPSX,IVV,IWM,SPY,VBIRX,YACKX",0.6153846153846154,8.0,0.1250344917063396,0.8502375441985688,0.1228024586293696,0.763814313982043,[4622],[766],0.12391847516785459,0.8070259290903059,0.08642323021652576,0.002232033076969994,1,1
"IJS,QQQ,TGINX,VTSAX,YACKX",0.7142857142857143,5.0,0.1457670207396614,0.8549592557090441,0.1239769138874694,0.7579149977307087,[619],[2668],0.1348719673135654,0.8064371267198764,0.09704425797833538,0.021790106852192015,1,1
"EWW,FLPSX,QQQ,VGSLX,VTSAX,YACKX",0.6,6.0,0.1404066683275551,0.7697124588474376,0.1514804195695312,0.8418158313432827,[1609],[3653],0.14594354394854314,0.8057641450953601,0.0721033724958452,0.011073751241976099,1,1
"EWU,FEMKX,MACSX,SPY,TGINX,VBIRX,VTRIX,VTSAX,YACKX",0.6,9.0,0.0977967589679709,0.8098907337289751,0.1101759419845689,0.801422636470877,[6],[302],0.10398635047626989,0.805656685099926,0.008468097258098162,0.012379183016598003,1,1
