PortfolioID,AnnualReturn,Volatility,Sharpe,ETFs,Weights
20,0.12612262110878866,0.1868163951132552,0.6751153774931175,"JUEAX,IJS,VTSAX,VGENX,EWU,FLPSX,SWSSX,EWG,IJT,EFA,VBIRX","0.2075321673110587,0.00641853710109522,0.048587811235861075,0.010406244330092802,0.1488282599436517,0.1524182489600818,0.10080021564157882,0.05242040931146685,0.0676693999649743,0.1601982011547842,0.044720505045354485"
21,0.09717243223311349,0.14893307251714089,0.652457043897552,"QQQ,VTI,VGSLX,VBIRX,IJT,IVV","0.13842913926575898,0.1951469028974308,0.0010443663844118818,0.2556015144364213,0.25387041209431027,0.15590766492166683"
22,0.10305732736563164,0.18203223891139647,0.566148765635929,"VBIRX,VFIAX,SLYV,IJS,VTSAX,EWW,VGENX,EWG","0.12346179619276938,0.15013863267165672,0.10246322279137626,0.18938972932184023,0.1276954124502248,0.09430882106205857,0.051939787248894524,0.16060259826117948"
23,0.11854988204646551,0.18634650811583656,0.6361797881008462,"IWM,EWG,MDY,IJT,FLPSX,EFA,QQQ,YACKX,TGINX,MASKX,JUEAX,VGSLX","0.1318144333639649,0.13426206361913678,0.08199767322123898,0.08486146802686768,0.07879564384738062,0.06268912224796987,0.0030465520338101093,0.01633736956981672,0.12538201055787282,0.0887684921364692,0.09518015530796411,0.09686501606750826"
24,0.09628762967427283,0.15946124718298613,0.6038309079809225,"TGINX,SLYV,IVV,VGSLX,VBIRX,IJT,MASKX,VTSAX,IJS","0.10816000740406337,0.0279756660459655,0.11381171710775041,0.16314774324798872,0.14894925020156619,0.1174086364809051,0.009417398593430297,0.15979996656274878,0.15132961435558176"
25,0.10919322142002366,0.1916778827161603,0.569670427660758,"IJS,EFA,VTSAX,SPY,IWM,VGSLX,EWU,VFIAX,MACSX,IVV,SWPPX,MDY","0.14418902069173728,0.11459478718348615,0.15064762176896057,0.09927549449941259,0.06043859954880602,0.10434899620474342,0.06879503686764633,0.12161156719448488,0.07832955296912798,0.03073237787935714,0.015106965183868157,0.011929980008369727"
26,0.12402339870893642,0.2152355332988479,0.5762217641672286,"YACKX,IWM,VTRIX,VFIAX,IJT,MASKX","0.04470393123544078,0.23205922978985014,0.015207195381128927,0.2321674200502795,0.24179428732783456,0.23406793621546612"
27,0.13062685259639695,0.20118977800392182,0.6492718163536649,"FLPSX,VTRIX,EWW,VGSLX,EFA,IJS,VTSAX","0.2308382522440412,0.17549668414537042,0.08476797910963448,0.2466768648995995,0.039719046245748985,0.1778338042677275,0.04466736908787797"
28,0.12854085869464224,0.18021291109182944,0.7132721951821912,"FEMKX,YACKX,FLPSX,IJT,SPY,VTRIX,VGSLX,EWU,MDY,QQQ,IVV","0.010612949320648463,0.12361362570511732,0.10508223400403352,0.029903049035054887,0.2077591727831506,0.21232915529319404,0.07457628394991483,0.030395195075592126,0.01900987649976591,0.019739941760464844,0.16697851657306365"
29,0.11932526470778666,0.19339150392454846,0.617013996407729,"MDY,FEMKX,IVV,SLYV,VFIAX,VTI,IWM,QQQ,SPY,VVIAX,VTRIX","0.16709158076295488,0.09485378194842825,0.020490456120903715,0.134227726583648,0.12192608503026428,0.05296337465172208,0.006622371212262595,0.17322254293286662,0.060380362970384745,0.03106672272441331,0.13715499506215156"
30,0.126162833582012,0.13561634448070586,0.9302922451206549,"SLYV,SPY,MACSX,EWU,TGINX,FLPSX","0.10040889519676932,0.1087583468700517,0.29455818502182224,0.05282902276652326,0.16428340797271573,0.2791621421721179"
31,0.11726702251753877,0.18754705117476456,0.625267215789302,"VVIAX,FEMKX,MASKX,VGSLX,VTI,TGINX,SWSSX,VTSAX","0.05467973170075209,0.20310546547591735,0.06785139828003821,0.17540133502853503,0.13951522539826544,0.10652306780246988,0.23372830718772564,0.019195469126296393"
32,0.11680733138977598,0.21460937572018246,0.5442787902336323,"SWPPX,FEMKX,MASKX,SLYV,VGSLX,EWG,SPY,IJS","0.01115670992488525,0.06120718597599293,0.08055310878813843,0.19174725270118978,0.2062370879066691,0.047105688664726544,0.17997454973664292,0.22201841630175498"
33,0.12659537761650314,0.1990641083818778,0.6359528025697474,"SPY,VVIAX,MASKX,JUEAX,EFA,VTSAX,VGENX","0.11509205746499326,0.01988439209145443,0.1800407297803882,0.21789290621801954,0.23398978637047996,0.15799516255729923,0.07510496551736537"
34,0.12995810405506977,0.2113621736830122,0.6148598010255744,"VGENX,IVV,VVIAX,SWSSX","0.21273641481114014,0.18449395060338913,0.16881434996337513,0.43395528462209554"
35,0.12641454693229576,0.1963740734124937,0.6437435692783925,"VFIAX,VTSAX,JUEAX,EWW,MDY","0.3009512547207056,0.28191860626277815,0.2170296528396959,0.1689133706669133,0.031187115509906948"
36,0.12125514432363314,0.2100581385688547,0.5772456385158677,"SWSSX,MASKX,IJS,VTRIX,EFA","0.3645993007867209,0.06800869013074579,0.16573443621886427,0.3202135519864054,0.08144402087726355"
37,0.1052360301072533,0.168181163769211,0.6257301813636214,"IVV,MDY,SPY,VTSAX,VTI,TGINX,VFIAX,VVIAX,IJT,VTRIX","0.07738838363064228,0.08424399606942332,0.10686769427217302,0.2051326154392827,0.14933109441707113,0.12861938539419235,0.11960648405818186,0.01208106357328185,0.00582043579538895,0.11090884735036267"
38,0.13961244278831245,0.19016512478324643,0.7341642845787059,"VGSLX,IJS,VVIAX,SLYV,YACKX,EWW,JUEAX,VTSAX,VTI","0.014530443538028634,0.08825174190546077,0.08756402857271806,0.05542486745602169,0.20776306966575997,0.15590118590275406,0.18125903473709554,0.1898877462777632,0.019417881944398016"
39,0.13390045510890555,0.2121381478035522,0.6311946083026159,"FLPSX,SLYV,IJS,QQQ,VGSLX","0.07664996896344663,0.19784133106976406,0.1173760491493074,0.3491719532828072,0.2589606975346748"
40,0.11695602797566318,0.16103188006662528,0.7262911414017761,"YACKX,QQQ,VBIRX,JUEAX,IWM,VGENX,SPY","0.03679828352624523,0.2959344351687838,0.20854928798720612,0.14207048018958826,0.18189377185540337,0.042421862264393956,0.09233187900837912"
41,0.12044467382574575,0.20295862377731944,0.5934444744653684,"IWM,QQQ,MASKX,MDY,VBIRX","0.17203401454320566,0.2199795311129559,0.18279546813446038,0.35199930969172916,0.07319167651764906"
42,0.13187048010680866,0.19800745236302703,0.6659874592247024,"JUEAX,VGENX,FEMKX,FLPSX,SWPPX","0.13272616991556688,0.30396218941473935,0.32976594390711533,0.00809619454437807,0.22544950221820045"
43,0.10976752801176047,0.17834580223798716,0.6154758151542313,"IJT,VTSAX,VBIRX,VVIAX,FEMKX,VTI,FLPSX,EFA,VGSLX,SPY","0.13393459277448894,0.2620001855272124,0.09011190258365294,0.07593041480427079,0.008271304839009156,0.15195647323771405,0.05510688653120149,0.028300375231709956,0.13245260549215335,0.061935258978586864"
44,0.14045576481586747,0.19078102362248506,0.7362145466511358,"VFIAX,SPY,FLPSX,QQQ,EWW,EWU,VVIAX,VGENX,JUEAX","0.11380304091097973,0.12409762831138037,0.19119241111656193,0.08747370150456552,0.13800959557054113,0.048540890950843935,0.06753242057866962,0.061651328741755676,0.16769898231470198"
45,0.11367709756916448,0.15716832313826354,0.7232824992931998,"MDY,VFIAX,EWW,MACSX,VVIAX","0.03679296279213965,0.09348178751488756,0.07573820679641124,0.40518466579336904,0.38880237710319254"
46,0.12238292500158515,0.20873579628394665,0.586305402237313,"EFA,VTRIX,MASKX,IJT","0.04483256628824955,0.3600545504301273,0.3914929988171898,0.20361988446443338"
47,0.10945410706273995,0.1693291637811987,0.6463984385121796,"EWW,EFA,VFIAX,SWPPX,VTRIX,VBIRX,VTI,FLPSX,IWM,SPY,FEMKX","0.08614679012651025,0.13177654826563698,0.025061149465270608,0.11377159322382376,0.08702189727696809,0.10679257676588105,0.07671276950671976,0.11623487636860277,0.11193102447239496,0.07724936502802847,0.06730140950016315"
48,0.13949721426279119,0.18344413890230804,0.7604342940445729,"QQQ,IVV,FEMKX,YACKX","0.2741859888081638,0.38922673656916346,0.11488214379785752,0.22170513082481533"
49,0.13002424229148168,0.19788733846816461,0.6570619590823367,"MDY,VFIAX,EWG,SWPPX,FEMKX,QQQ,FLPSX,EFA","0.12310286546135418,0.06945183620185684,0.235079299183877,0.06650780579257737,0.04465558543098414,0.20129728441756903,0.19218165812248283,0.0677236653892985"
50,0.11252985089343523,0.19424970068809186,0.579305144331343,"SWPPX,IVV,SPY,VTI,VFIAX,EWG,EWW","0.2661441829568723,0.07084811213927047,0.08739522404400225,0.33146975507151294,0.03237549086698753,0.08327974947076472,0.12848748545059"
51,0.10404424612282188,0.19867814450693153,0.523682392852184,"MDY,IJS,VBIRX,VGSLX","0.2873748531761748,0.434575438112369,0.12449746573823746,0.15355224297321887"
52,0.11539968556768475,0.14988953381828535,0.7698982218971108,"MACSX,SPY,VFIAX,VVIAX,FEMKX","0.5104326538021905,0.03811790647821241,0.013593503152860117,0.28695784045587014,0.15089809611086694"
53,0.115946854988107,0.18597802868096533,0.6234438326422268,"IJS,MACSX,VBIRX,VVIAX,MDY,SWSSX,FLPSX,VTI,SPY,IWM","0.06617843248190264,0.016772802591170716,0.07993232724197202,0.13542715746580108,0.05978914277013307,0.18420617973326803,0.07815169422491577,0.18324358172972005,0.067418745250395,0.12887993651072155"
54,0.11408066779657039,0.20047609371245273,0.5690487363555616,"EWG,IJS,JUEAX,EFA,QQQ,VGSLX,VTSAX","0.031593575024749174,0.03052122518458105,0.16693017964708554,0.39191682374200665,0.024496023362348875,0.17619756469742115,0.17834460834180763"
55,0.11138491871521299,0.19483197080172773,0.5716973362065136,"MDY,VFIAX,VTRIX,VVIAX,IJS,IJT,SWPPX","0.10068742183847872,0.20687378024632005,0.16247911188800535,0.14936046572209427,0.16033928822134985,0.09416315883748931,0.12609677324626248"
56,0.14384633186367848,0.1751860388944775,0.8211061382027346,"YACKX,JUEAX,EWW,VBIRX,FLPSX,IJS,SWSSX,IJT","0.15251914264688354,0.18168157092915038,0.014974462152842573,0.10366563675537253,0.155956468802105,0.11273750961717753,0.22417948579546476,0.05428572330100365"
57,0.11383889573624695,0.19865962767606246,0.5730348791445158,"SWPPX,IJS,IWM,EWW,FEMKX,VTRIX","0.17483594420450493,0.04374764878691087,0.3070142099572826,0.05024715467902245,0.33321976062255887,0.09093528174972029"
58,0.0990068486197619,0.14042135022639607,0.7050697665286431,"VBIRX,IVV,SLYV,EWG,VTSAX,TGINX,MACSX,VGENX","0.036966383944210514,0.06925325545372372,0.13252102025252477,0.11030558228800512,0.21619170496974727,0.239935037185374,0.12341505806596964,0.07141195784044488"
59,0.11481635879172983,0.19615672013931354,0.5853297236525237,"VTRIX,SLYV,MDY,IJS,VTI,IVV,EFA,SWSSX,JUEAX,VTSAX,VVIAX,MACSX","0.05076608899912871,0.11861253354343645,0.1336338859411794,0.12035043588955437,0.025271798596542057,0.11484469222218963,0.14354778929558157,0.09266622021717134,0.03668667337077994,0.08858645627848054,0.020154875559763346,0.054878550086192725"
60,0.12152364183258337,0.19077182234262563,0.6370104365535035,"SPY,QQQ,VTSAX,MACSX,FLPSX,VFIAX,IJS","0.009255261365647008,0.0819209762394875,0.46044184751016565,0.036308400095776246,0.06215816925788781,0.21858112730321227,0.1313342182278235"
61,0.11131493531980706,0.1974459305171121,0.5637742698888377,"EWU,FEMKX,SWPPX,VVIAX,SWSSX,IWM","0.007587577350477626,0.21951535853256968,0.19469506116922627,0.22785288753559338,0.007429537648140597,0.3429195777639924"
62,0.12296253665591764,0.20418961872209884,0.6021977876518252,"SPY,YACKX,SWPPX,VTSAX,MASKX,VTRIX,VTI,IJS,SWSSX,EWG,SLYV","0.19349910794741176,0.05898388375503848,0.029309858865283447,0.0521455180208259,0.07645094520035983,0.02197076758310021,0.09684719107827963,0.13447657879250483,0.15539773787249062,0.07917205579268778,0.10174635509201752"
63,0.08880582856193778,0.13453262427096313,0.6601062682243775,"SPY,VBIRX,VTRIX,VFIAX,FEMKX,IJT","0.05431184887308949,0.2925610904302088,0.09681984351795649,0.19743388644657742,0.1258506579904084,0.23302267274175947"
64,0.11753353995903723,0.20247494369669522,0.5804843691429835,"EWW,SWSSX,MACSX,FEMKX,SLYV,IWM,IVV,SWPPX","0.21043405659380637,0.0675933160553432,0.0016590620006115887,0.1992165530646917,0.08437794489287385,0.15554421115409275,0.07462492006155529,0.20654993617702525"
65,0.13575682409298348,0.19161507939690484,0.7084871635378002,"VGENX,SWPPX,IJT,FLPSX,VTSAX","0.20071119261510104,0.2391472882642266,0.07175109634050009,0.2096374306216211,0.27875299215855115"
66,0.10621394454499682,0.16138797648130043,0.6581279898338865,"JUEAX,MACSX,EFA,TGINX,VFIAX,SPY,SWSSX,EWU,MDY","0.07103332033076494,0.09702878110223638,0.07733590650626895,0.16369074606914605,0.06384224109455008,0.13620787947075896,0.1546370635573504,0.15390805922361156,0.08231600264531257"
67,0.12326505155729578,0.21433072408194492,0.5751161065931356,"EWG,VGSLX,JUEAX,IJS,SPY,TGINX,MASKX,IWM","0.230437176311647,0.051382724312367324,0.2268558492715483,0.05591696920723345,0.05091509134380342,0.0047603309134024545,0.07385430927403393,0.3058775493659642"
68,0.10128920879608103,0.17031795099140196,0.5947065955554758,"SPY,YACKX,VVIAX,VGENX,VBIRX,SLYV,VTI,VTRIX,EWG,EWU,EFA","0.018383143418419446,0.09855820742736839,0.09475482639573372,0.06637885271267481,0.1306185322856704,0.11432126758004993,0.04505911770933524,0.04764790731944159,0.1278606169304122,0.1620821526805823,0.094335375540312"
69,0.13492447513019964,0.1744158663143649,0.7735791357823693,"YACKX,VTRIX,EFA,TGINX,IVV,VTSAX","0.3120694603658424,0.2153775650523015,0.0002066214553129212,0.00827239081466466,0.04784134648423958,0.41623261582763893"
70,0.1015489208415227,0.1327236409235065,0.765115544864001,"FLPSX,SWPPX,VBIRX,JUEAX,EWU,EWG","0.10373704716972977,0.01734708148695106,0.3111428978000815,0.2919770769949634,0.24850910050224412,0.027286796046030223"
71,0.12626369015315914,0.19818251484782232,0.6371081235401255,"VGENX,SWSSX,MASKX,VBIRX,VFIAX,IJS,VTRIX,JUEAX","0.04252684827790525,0.17929000897512298,0.2227213843912782,0.04245261821991428,0.10634616289849622,0.08939797928186669,0.21793819283543314,0.09932680511998337"
72,0.11730276352647066,0.16965174643731873,0.6914326907316014,"FEMKX,YACKX,IVV,VTRIX,VVIAX,QQQ,TGINX,EFA,SLYV,MACSX,EWW,IJS","0.1417147735007296,0.07374151211602492,0.09424099814397759,0.11290837396704774,0.07556130399323649,0.06244786482864198,0.07859458205074563,0.006527299394385446,0.030034941586392003,0.08660462241624474,0.08919143778727073,0.14843229021530324"
73,0.11348284612991007,0.19553004013350828,0.5803857353705025,"EWG,VTSAX,VTRIX,IVV,VTI,EFA,VGENX,JUEAX,SWSSX","0.14454996280611543,0.17953147959810248,0.05473351345548034,0.1724405337122193,0.15611571121144552,0.14185428791903126,0.0410739344764456,0.08402290173726552,0.025677675083894628"
74,0.11439701210433349,0.19210158027458082,0.5955027123713396,"VBIRX,YACKX,VGENX,VGSLX,SPY,SWSSX,EWW,FLPSX","0.1233694424704865,0.002018111379639611,0.07649466504569762,0.2647085085112532,0.11131588293167088,0.1044523384767554,0.27792640786049555,0.03971464332400112"
75,0.07566983546663664,0.1370386801863112,0.5521786649124142,"VBIRX,SPY,EWG,VTRIX","0.35451802934853005,0.08773049827762379,0.3248794862739819,0.23287198609986434"
76,0.11147673647372996,0.20027320403917542,0.5566233236670244,"SWSSX,SPY,VTSAX,SLYV,EWU","0.16199451550107286,0.27915214332009186,0.14365517347557905,0.2043549132407729,0.21084325446248334"
77,0.11611997602412331,0.18442407410293413,0.6296356730483695,"FEMKX,VVIAX,YACKX,IVV,IJS","0.057208773568970916,0.15929257560869117,0.07194958810028547,0.6761884686962946,0.03536059402575787"
78,0.12342822676142148,0.16358866272040468,0.7545035499946421,"VBIRX,YACKX,SPY,MACSX,VGENX,VTRIX,IWM,SLYV,MASKX,QQQ,TGINX,VGSLX","0.08707087199168519,0.1427306839836964,0.05938140544489599,0.06705372216189626,0.10158808082850707,0.11188729657642975,0.031891157756923784,0.12789961042467513,0.08609406551552919,0.08631584319515263,0.03983423946494547,0.058253022655663254"
79,0.11758803513739928,0.17904349544477463,0.6567568112166852,"VTI,VFIAX,MACSX,EWW","0.208539138105549,0.24779737750737252,0.2495499276642059,0.2941135567228726"
80,0.12147139124931744,0.2035548663842136,0.5967501215128796,"YACKX,SLYV,VGENX,QQQ,MDY,IJT,VFIAX,VTSAX","0.012451760563169994,0.145327246405068,0.0961276279338901,0.06740040932588752,0.181028358336327,0.16724232335072478,0.15055771164145643,0.17986456244347623"
81,0.11306458419890351,0.20932388571587549,0.5401418180836326,"VTRIX,SWPPX,FLPSX,IWM,MDY,VTSAX,SLYV,VVIAX,VGSLX","0.10074476902245563,0.009247298673246031,0.006595067790554316,0.3383745634906113,0.200323945120855,0.2078955993668928,0.11313091909848834,0.021960654962319113,0.001727182474577384"
82,0.11444690509383826,0.19902094376760968,0.5750495547216087,"VTRIX,VTSAX,VTI,IJT","0.20978543739049008,0.04630962238509574,0.2733426860679231,0.4705622541564911"
83,0.1313751587348202,0.18824806621174422,0.6978831781838729,"MACSX,VTRIX,SWSSX,VGENX,VTI,YACKX,MDY,IJS","0.05661228531216827,0.21008060465702766,0.10057535789935326,0.11180033438435262,0.08805979737998818,0.16785590994264163,0.07794573239437587,0.18706997803009262"
