PortfolioID,AnnualReturn,Volatility,Sharpe,Assets,Weights
134,0.12322874385417384,0.12474987204762183,0.9878065751212368,"TGINX,VTSAX,YACKX","0.3498769164970447,0.2637176582701063,0.3864054252328489"
135,0.12861153026150252,0.11731916860694788,1.0962533385519224,"FLPSX,MACSX,TGINX,VGENX","0.3222837023181644,0.44715439597281886,0.22892801050749043,0.0016338912015263908"
136,0.12195909838686288,0.17149347681424074,0.711158818705199,"EWU,SWPPX,TGINX,YACKX","0.4253157327751092,0.13960709356401482,0.0805874428690309,0.354489730791845"
137,0.1307287962716372,0.1521102300124475,0.8594346104199525,"EWW,FLPSX,MACSX,TGINX,VBIRX","0.29807234503149027,0.36874166515949697,0.14666284523476872,0.06807313903845116,0.11845000553579273"
138,0.12129490277942293,0.1438262954861183,0.8433430227028962,"EWW,FLPSX,MACSX,TGINX,VBIRX","0.3060588931602095,0.2862964910001399,0.17541737896285375,0.08204684946762222,0.15018038740917455"
139,0.1125678456419275,0.103950333475506,1.0829002839942987,"IJT,MACSX,TGINX,YACKX","0.025899419026601565,0.49057784228722684,0.3156498132507854,0.1678729254353862"
140,0.15056497222529885,0.18440921321847425,0.8164720709855247,"FLPSX,JUEAX,SPY","0.3060124029622812,0.2826366582526736,0.4113509387850453"
141,0.10870423450576594,0.11431328655972073,0.9509326323933094,"IJT,JUEAX,MACSX,TGINX","0.09912212480758899,0.2930083482335994,0.19876164482362121,0.40910788213519034"
142,0.11861143396717751,0.12398460962141455,0.9566625594043973,"FLPSX,IVV,TGINX","0.3524858076980428,0.2703939621616857,0.3771202301402714"
143,0.11739596476922405,0.13149550970097998,0.8927754646237106,"IJT,MACSX,TGINX,YACKX","0.23371536431247217,0.5733939936235033,0.12428175047694333,0.06860889158708133"
144,0.14816211866150122,0.1604304452795209,0.92352868810752,"FLPSX,MACSX,TGINX,VGENX","0.41212329311921037,0.17661710193951047,0.12087960520311418,0.290379999738165"
145,0.14923944453190915,0.1570228062696031,0.950431647971377,"FEMKX,MACSX,YACKX","0.3080404422052777,0.2576877667420685,0.4342717910526537"
146,0.11166719092606069,0.1798357481854363,0.6209398968380629,"TGINX,VTSAX,YACKX","0.07384999775878626,0.9037607554083158,0.022389246832897926"
147,0.06730809983787653,0.08175817628480408,0.8232583320279698,"TGINX,VBIRX,VTSAX","0.16974150586796644,0.4265260497922526,0.4037324443397809"
148,0.11700171282000942,0.15253602819892415,0.7670431320489479,"MACSX,VTI,YACKX","0.45270583556228966,0.5464539869370061,0.0008401775007042281"
149,0.15157088429066973,0.16170848485791542,0.9373094084942231,"FLPSX,IWM,MACSX,YACKX","0.2788003660994086,0.2428063878269236,0.26790527968770367,0.21048796638596423"
150,0.140308665257573,0.1593451953046019,0.8805327640369767,"IJT,MACSX,TGINX,YACKX","0.3679672983563197,0.27430214092057825,0.02978622477397282,0.3279443359491293"
151,0.12910653657562302,0.17194890549417424,0.750842444763321,"EWU,TGINX,VTI,YACKX","0.1216008664732993,0.0446895070802331,0.5394128099172875,0.2942968165291801"
152,0.11253475694579175,0.12098996255335903,0.9301164705804552,"FLPSX,MACSX,TGINX","0.030683562013501427,0.7981233506337716,0.17119308735272695"
153,0.11105708220835082,0.14549563082127387,0.7633018364982576,"SWSSX,VBIRX,VGENX,YACKX","0.27132452884671726,0.3174054419219191,0.2956210259986492,0.11564900323271433"
154,0.13144591849574588,0.13510793789296902,0.9728956014403525,"FLPSX,MACSX,TGINX,VGENX","0.2888934383061909,0.2719451334840937,0.22627545595458995,0.21288597225512534"
155,0.1489608353817159,0.18358085648137465,0.8114181306089987,"FLPSX,JUEAX,SPY","0.3214092257080759,0.23257374846934217,0.446017025822582"
156,0.12860107705563922,0.14620862073861912,0.8795724657408721,"FLPSX,MACSX,TGINX,VGENX","0.21062988831757573,0.21950357256498707,0.2334021937583171,0.3364643453591201"
157,0.11762756865386409,0.12917552491595452,0.9106025985216326,"IJT,MACSX,TGINX,YACKX","0.309530421017036,0.2081041713911978,0.2703991470554752,0.21196626053629108"
158,0.12067437284286756,0.1317689425765702,0.9158028476455622,"FEMKX,TGINX,YACKX","0.36992354796182353,0.3201071560610541,0.3099692959771224"
159,0.13782955210529643,0.17859258478984932,0.7717540583640753,"EWG,FLPSX,MACSX","0.3751566719278901,0.37737647875453795,0.24746684931757204"
160,0.1707995949150018,0.18242684556522165,0.9362634889936589,"FLPSX,JUEAX,SPY","0.563572314041668,0.2871644059702676,0.14926327998806446"
161,0.059263147578266305,0.0708447605779726,0.8365212486397011,"TGINX,VBIRX,VTSAX","0.8307322760367593,0.09899364842268796,0.07027407554055269"
162,0.12802248045265743,0.1252752055219738,1.021929917570175,"FEMKX,TGINX,YACKX","0.2259826155531556,0.3411926162349621,0.43282476821188237"
163,0.14946827764226517,0.1454463936783243,1.0276520019660016,"EWG,FLPSX,MACSX","0.037649303248081446,0.43253635619506897,0.5298143405568496"
164,0.1331124755510219,0.16595983200418696,0.8020764659948778,"TGINX,VTSAX,YACKX","0.0868007839728629,0.5909311882521965,0.3222680277749406"
165,0.1082984230466888,0.1681385975307404,0.6441020957540035,"EWU,SWPPX,TGINX,YACKX","0.43718883515241846,0.22841878887498548,0.12453186746434153,0.20986050850825452"
166,0.15508212524571074,0.17692235625964003,0.8765547131766777,"FLPSX,IWM,MACSX,SPY,YACKX","0.2694033348676063,0.2499865554195873,0.05541765839577729,0.13157249170202262,0.29361995961500653"
167,0.06714280856623969,0.0979592015956945,0.6854160453793526,"EWU,TGINX,YACKX","0.2903114027172692,0.6958370558121428,0.013851541470587909"
