PortfolioID,AnnualReturn,Volatility,Sharpe,FactorMagnitude,Score,ETFs,Weights
870,0.11123485786368421,0.16618505060672545,0.6693433462130112,0.8475959061814861,0.24554539312226814,"JUEAX,IWM,IVV,SWSSX,MDY,VBIRX,FEMKX,QQQ,VTRIX,VTI,VTSAX,SWPPX","0.11337590103169898,0.056711720479451604,0.12617850523025878,0.006839478121189206,0.1359888988675728,0.14098395583537127,0.12311456916336938,0.11891083450412233,0.028449450712851793,0.05217130483555835,0.01424687191484454,0.08302850930371083"
871,0.11889588014272279,0.20085849639935496,0.5919385152935189,1.0219850258656011,0.08094600236071836,"VTRIX,TGINX,VGSLX,VVIAX,EFA,VFIAX,IJT,IWM,MASKX,SWPPX,VGENX,FLPSX","0.10337730515362004,0.008785778414988166,0.07022811391110224,0.08214539004580394,0.09721692272804067,0.05938536229200688,0.026781081635378536,0.17228181428491154,0.0973377200746119,0.10541011898224041,0.14703107045852049,0.030019322018775"
872,0.12292184004893779,0.18829622616815486,0.6528109593612591,0.9416253629598382,0.18199827788134,"SLYV,FLPSX,MDY,VVIAX,MACSX,FEMKX,EWW,VGENX,EWU,VBIRX,IJS","0.08051269392593124,0.08232249747968595,0.13289996964257442,0.13445474671493818,0.09595300856926339,0.11939474366318543,0.03399826810528344,0.15940620879343623,0.07626473499814353,0.00673221346082346,0.07806091464673472"
873,0.12719640714200953,0.1933847371329242,0.6577375703366926,0.9897367468693484,0.16286919690201834,"IJS,MDY,QQQ,VGENX,IJT,IWM,IVV,FLPSX,VTRIX,SWPPX,YACKX,VFIAX","0.018298858534022605,0.10111499314108295,0.04699231196011718,0.056653951906218324,0.08519080588990798,0.13349930486988165,0.10638852041836917,0.13371793667247386,0.1239497173146442,0.11735371795738195,0.0164270119446655,0.060412869391234636"
874,0.12278917168062892,0.165897590983693,0.7401504202233928,0.8378473697250233,0.3212267353608812,"EWW,SLYV,TGINX,SWPPX,EFA,IWM,YACKX,MACSX,VFIAX,EWU,QQQ,JUEAX","0.042426553428960914,0.10056529531598944,0.11674995722629336,0.056631219497891246,0.0060521895882488155,0.04274508397283485,0.11615694332601455,0.055775079589833965,0.12170445353990171,0.1126579358181767,0.11649746272067599,0.11203782597517856"
875,0.11635333895879675,0.14126247115324972,0.8236677300694386,0.7136478233929383,0.46684381837296945,"MASKX,VFIAX,SWPPX,JUEAX,VBIRX,FLPSX,IJT,YACKX,VTRIX","0.03200171236666238,0.09575113862583791,0.1299100981585285,0.1328097160775415,0.21793071564578043,0.062325894355433696,0.08220251645191377,0.1345549524097992,0.1125132559085026"
876,0.1171322228131611,0.13901833264321187,0.8425667362431897,0.6883737386160403,0.4983798669351695,"IJT,MACSX,IJS,SWPPX,TGINX,EWU,JUEAX,VBIRX,VTSAX,EWW,FLPSX","0.09035489423678236,0.15531939071847645,0.04764823445815547,0.08044037884544056,0.11069888723379145,0.0046284593136735105,0.1100461682413055,0.1121302502943536,0.03296704110303426,0.10524379406664053,0.1505225014883465"
877,0.11477783187920085,0.15628632738826817,0.7344073777743452,0.7867418238383818,0.3410364658551543,"TGINX,VTSAX,VFIAX,VTRIX,JUEAX","0.1996236333208193,0.16523684542058073,0.12944434833766152,0.2325294027292638,0.2731657701916746"
878,0.11469115414624362,0.17868235063275303,0.6418717558846596,0.8687394005293014,0.2075020556200089,"FLPSX,VBIRX,VTSAX,MACSX,VGSLX","0.05474640690982067,0.05975926339616224,0.4281945642680557,0.15129170838365993,0.3060080570423015"
879,0.11151697401643416,0.20788914033435255,0.5364252016102382,0.9928976335799283,0.03997638482027405,"VTRIX,MDY,EWU,EWW","0.20845422574233355,0.3667312658715985,0.12916177460459402,0.29565273378147394"
880,0.11755754462986948,0.20245521271425407,0.5806595100902172,1.0232580195475598,0.06903050031643732,"VVIAX,EWG,MDY,QQQ,FEMKX","0.324217099629488,0.27584334208685063,0.005945191104255417,0.32362055699458303,0.07037381018482287"
881,0.1136602185841218,0.19250698426195942,0.5904212723495548,0.9812038955749705,0.09981932456206954,"VVIAX,MASKX,IJS,SPY,EWW,IWM,IJT,EWG,VTI,MACSX","0.0981717194378071,0.032105931596513156,0.0527911624311203,0.13653916405286054,0.10979139646614666,0.18393925430979002,0.04967748045842113,0.08104185040020309,0.13558279233384443,0.12035924851329356"
882,0.1473486528881103,0.1790794763905281,0.8228115016752634,0.85022180410098,0.3977005996247734,"MACSX,YACKX,EWW,FEMKX,VTSAX","0.003456796324135376,0.426726111616499,0.1549546533086621,0.21299950706321455,0.20186293168748892"
883,0.12071704445922118,0.17965665237834308,0.671931948308824,0.9395986546059665,0.20213262100584073,"VBIRX,QQQ,SWPPX,VTSAX,MDY,JUEAX,IVV","0.08514260602487797,0.21849263280391235,0.010451590179287604,0.2805569247703729,0.00044134131326071884,0.14900908289625892,0.2559058220120295"
884,0.12387131229644345,0.17787992972117198,0.6963759907630535,0.9020704937703085,0.24534074387789923,"MDY,QQQ,EFA,SWPPX,JUEAX,VTI,EWW,IJS,VFIAX,VTSAX,MACSX","0.04274850714004202,0.07608434767099465,0.08393775981611876,0.00029135566338641425,0.15683190899142646,0.1535234876137355,0.0018834033172755165,0.11591795057467744,0.01792928360467177,0.1592725243506896,0.19157947125698202"
885,0.11893506819436934,0.18339102370167093,0.6485326587622167,0.8922499646489651,0.2024076764377341,"VGSLX,JUEAX,FEMKX,EWU,MASKX,MACSX,SPY,VGENX","0.1452758815066144,0.17364139797759928,0.1694500726594187,0.21830797717626765,0.008521607709685134,0.13534069361073614,0.11356874860576563,0.035893620753913245"
886,0.09662399128923592,0.140402515558497,0.6881927357560678,0.7123453871054674,0.3320200422033341,"TGINX,EFA,MASKX,VFIAX","0.406537976641993,0.15245628996722008,0.3284992119138775,0.11250652147690944"
887,0.11722090588276947,0.1853655839006567,0.6323768599115566,0.9398965217430939,0.1624285990400096,"VTRIX,IJT,VTSAX,VTI,SLYV,FEMKX,QQQ,VBIRX,JUEAX,VGSLX,MDY,IJS","0.1361074625429578,0.009440543514822918,0.13436585331999568,0.13530254456069318,0.10906972873258014,0.1315560280502409,0.09919229647143123,0.03778618229377282,0.06437351299251157,0.01279626375113142,0.050936046591464376,0.07907353717839799"
888,0.11179317429294874,0.198051470516542,0.5644652574473632,1.0636441779615684,0.032643168466579,"VVIAX,SLYV,VGENX,SWSSX,IJT,VTRIX,VBIRX,EWW,IJS","0.17398769666867506,0.13401332173403085,0.031695376996726116,0.047453233960651986,0.18583428351735476,0.09584986544553678,0.052838900196481825,0.07888548303466035,0.1994418384458823"
889,0.1282689759330113,0.16944256216238868,0.7570056442494191,0.8616414761863781,0.32618490615623,"YACKX,EWU,SPY,TGINX","0.30293876086914817,0.0938805348611409,0.5494358735930361,0.05374483067667469"
890,0.12247057950041518,0.1945980222491714,0.6293516145996528,0.9785736078505627,0.1400648106743715,"QQQ,VGENX,VTSAX,FLPSX,EWU,MACSX,SWPPX,VGSLX","0.16177686373193248,0.060040404466450675,0.1547122516546519,0.03933903569009597,0.0763249551358818,0.049106160675190025,0.24059889979967808,0.21810142884611908"
891,0.13010934933123172,0.19980705181862485,0.6511749617793203,1.0038130021094176,0.14926846072461153,"VTI,MACSX,SWSSX,SLYV,VGENX","0.2522126809241873,0.10436037203942682,0.17772735777586793,0.15306314056837766,0.31263644869214036"
892,0.11860033210306319,0.19147722059094802,0.6193965618313866,0.9596910123019999,0.13955105568038662,"VGSLX,JUEAX,MDY,VTRIX,VFIAX,IJS,EWG,SWPPX,FEMKX,MACSX,VGENX,VVIAX","0.10061950347198773,0.01896763018896854,0.11882876296351384,0.018724002984901778,0.019035039291833162,0.13047129903001653,0.11270546050683468,0.03166432948526923,0.04866588473307354,0.14292508152760164,0.1538040635893937,0.10358894222660575"
893,0.15413993457373779,0.20331994595500963,0.758115165975136,1.004319042139428,0.255955644905422,"VGENX,QQQ,YACKX,JUEAX","0.38139958622465153,0.3771295010888238,0.10021262504336602,0.14125828764315865"
894,0.10999477995509538,0.14811984980709392,0.742606612809483,0.7446055369173048,0.37030384435083064,"IJT,TGINX,JUEAX,VGSLX,VVIAX,IJS,YACKX,MACSX,EWW,QQQ,VBIRX,SWPPX","0.06379050334639497,0.09157540422782767,0.05188758833316297,0.14566021026607817,0.027818698915626338,0.11372099533013978,0.072950640936971,0.10759387551300802,0.017512584869381388,0.08385630550188106,0.1273977282785811,0.09623546448094751"
895,0.11046065241147582,0.19026401176769495,0.5805651388573896,0.9532391861187675,0.10394554579800586,"VTI,EWG,VGENX,EWU,VTSAX,SLYV,IJS,TGINX,VFIAX,EFA","0.1656603636991044,0.020802326499320102,0.1809711518830712,0.09256205046517853,0.0996997229961166,0.030562223156879544,0.11853659343035587,0.05596486187072102,0.12703469783809548,0.1082060081611573"
896,0.12713421986892512,0.19805211307650317,0.6419230670859642,1.0176011266109568,0.13312250378048585,"SWSSX,VTSAX,VFIAX,SLYV,MASKX,VGSLX,EWW,MACSX,VGENX,MDY","0.14669189773936242,0.11348464949883788,0.06123801562044346,0.004112996571449593,0.1269953049903902,0.09274672052899129,0.08180097305815362,0.13018758573488343,0.10594444451165788,0.1367974117458302"
897,0.11265161839791667,0.20759156822121203,0.5426598939600176,1.0591079399536072,0.013105923983213974,"EWG,JUEAX,VTI,IWM,VGSLX,EFA,MASKX,VFIAX","0.11975712181984355,0.014183243105663922,0.18566467053672941,0.1699183948917268,0.04916056914422404,0.1748496891353612,0.17339256587590457,0.11307374549054662"
898,0.1521994347071766,0.1928066982216097,0.7893887303242981,1.0010410347577707,0.28886821294541276,"MASKX,IJT,YACKX,SLYV","0.06362960538868682,0.09551882909743599,0.4637470147494711,0.37710455076440597"
899,0.13604569378500936,0.18557875608979907,0.7330887255175839,0.9537164056931953,0.2562305226709862,"IVV,FLPSX,VGENX,MDY,MACSX,EFA,IWM,IJS,MASKX,YACKX,EWG","0.0663767140526508,0.11962437549473293,0.06531023607846846,0.11595181465009817,0.10124898734881846,0.10080094022801374,0.0706319690281284,0.08379769065726106,0.11220795238386863,0.13783097140630496,0.026218348671654245"
900,0.10934690212826234,0.16953747350470688,0.6449718747591607,0.8355270243270202,0.22720836259565064,"VGENX,VBIRX,FLPSX,MDY,VFIAX,EWG,IJT,VVIAX","0.25101034261491506,0.17999675960449107,0.05976166292635545,0.011976541325516505,0.1617853186503676,0.12983788116823222,0.19683321279655872,0.008798280913563323"
901,0.1339898254519817,0.2069145844615548,0.6475610494091455,1.0645224746192785,0.11529981209950624,"IJT,FLPSX,EWG,SWSSX,VTSAX,EWW,VGSLX","0.09916869590077285,0.17433475823550326,0.07105734007206266,0.23409798588594974,0.18005396895147976,0.09245277309573938,0.1488344778584924"
902,0.11690725845469183,0.1921857634034794,0.6083034267697235,0.9497718760767979,0.13341748873132453,"EWW,FEMKX,VTI,IJS,QQQ,SWPPX,VTRIX,IJT,VTSAX","0.11049459685374635,0.18370623303457478,0.13415926776980117,0.11711968866327235,0.08916558886351053,0.13223850781818539,0.1773252182340158,0.01446932348935796,0.04132157527353556"
903,0.11828408217630444,0.17186340788044432,0.6882447150040688,0.8642326487417646,0.2561283906331865,"IJS,VTSAX,VGENX,IJT,SPY,VVIAX,EWU,QQQ,IVV,TGINX,FLPSX,SWPPX","0.1198935019978994,0.037638524088177264,0.0916630578994344,0.01407792207367252,0.030194918299900453,0.03423991980953863,0.15598646818317496,0.0657712414625105,0.008380319619595318,0.12623991072109422,0.15750482830260834,0.158409387542394"
904,0.11725773412011287,0.18808592664886317,0.6234264105204471,0.9680065560255904,0.13942313250765193,"SWPPX,IVV,MDY,VTI,VVIAX,YACKX","0.219340401056427,0.04727288943059277,0.15899824732895312,0.20772612818526925,0.2763825286715962,0.09027980532716164"
905,0.1166884128589811,0.20168277617128327,0.578574011495563,1.0310409312094264,0.06305354589084977,"EFA,MDY,EWG,IWM,VTRIX,IJS,EWW,YACKX,VGSLX,IVV,SLYV","0.07437760874557355,0.1506914963248802,0.05591792318022102,0.07789513293701006,0.10436747647986454,0.13859539434355908,0.03917670364855698,0.07790349661654584,0.1299668227230469,0.1312087158740064,0.01989922912673548"
906,0.12073683782200728,0.20054582923671052,0.6020411308554207,0.9779508762796996,0.11306569271557088,"FEMKX,VGENX,VTI,MASKX,SPY,IJT,EWW,VFIAX","0.14820083854486046,0.10461462946621869,0.10386688174104754,0.05562331320159531,0.2572344110551855,0.05587739656875597,0.23463315424501854,0.03994937517731783"
907,0.1197568973988246,0.16850111389082378,0.7107187284021053,0.8558997208972869,0.2827688679534618,"IVV,IJT,VFIAX,YACKX,VGSLX,MACSX,VBIRX,IJS,VGENX,MASKX,VVIAX,SPY","0.07890597242429881,0.04926212717172592,0.16623308320499527,0.13524905018388342,0.07685600631976243,0.08871243829308215,0.06824113072648089,0.035104303305111474,0.008155622676064253,0.07787374562959948,0.08191186919815578,0.13349465086684015"
908,0.11046459771112774,0.1725572490131791,0.6401620235768304,0.8438009341794811,0.21826155648708984,"FEMKX,SWSSX,SLYV,EWW,VFIAX,IJT,VTRIX,JUEAX,TGINX,VTI","0.12867182424802087,0.15638947785562238,0.040324771886514454,0.1749652311664643,0.06155157065852683,0.06775385536956965,0.1415807652135992,0.01378283582695634,0.1725603824788458,0.04241928529588009"
